Origin Code,Destination Code,Connection Airport Codes,Departure Date,Arrival Date,Cabin Type,RBD,Points Per Adult,Tax Per Adult,Flight Duration(s),StopOvers,Transition Time,Aircraft Details,Equipment,Remaining Seats,Designated Class,Source,TimeStamp
SYD,JFK,"SYD-MEL, MEL-DOH, DOH-JFK","2023-11-28 12:00:00, 2023-11-28 17:10:00, 2023-11-29 01:25:00","2023-11-28 13:35:00, 2023-11-28 23:35:00, 2023-11-29 08:15:00","Economy, Economy, Economy","X, X, X",82800,$397.82,"01h 35m, 14h 25m, 14h 50m",2,"03h 35m, 01h 50m","VA838(Virgin Australia), QR989(Qatar), QR703(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",4,Economy,VA,2023-08-16 23:22:58
SYD,JFK,"SYD-MEL, MEL-DOH, DOH-JFK","2023-11-28 13:00:00, 2023-11-28 17:10:00, 2023-11-29 01:25:00","2023-11-28 14:35:00, 2023-11-28 23:35:00, 2023-11-29 08:15:00","Economy, Economy, Economy","X, X, X",82800,$397.82,"01h 35m, 14h 25m, 14h 50m",2,"02h 35m, 01h 50m","VA842(Virgin Australia), QR989(Qatar), QR703(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",4,Economy,VA,2023-08-16 23:22:58
SYD,JFK,"SYD-MEL, MEL-DOH, DOH-JFK","2023-11-28 14:00:00, 2023-11-28 17:10:00, 2023-11-29 01:25:00","2023-11-28 15:35:00, 2023-11-28 23:35:00, 2023-11-29 08:15:00","Economy, Economy, Economy","X, X, X",82800,$397.82,"01h 35m, 14h 25m, 14h 50m",2,"01h 35m, 01h 50m","VA846(Virgin Australia), QR989(Qatar), QR703(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",4,Economy,VA,2023-08-16 23:22:58
SYD,JFK,"SYD-MEL, MEL-DOH, DOH-JFK","2023-11-28 19:00:00, 2023-11-28 22:30:00, 2023-11-29 08:15:00","2023-11-28 20:35:00, 2023-11-29 04:55:00, 2023-11-29 15:05:00","Economy, Economy, Economy","X, X, X",82800,$397.82,"01h 35m, 14h 25m, 14h 50m",2,"01h 55m, 03h 20m","VA882(Virgin Australia), QR905(Qatar), QR701(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",2,Economy,VA,2023-08-16 23:22:58
SYD,JFK,"SYD-MEL, MEL-DOH, DOH-JFK","2023-11-28 19:00:00, 2023-11-28 22:30:00, 2023-11-29 15:10:00","2023-11-28 20:35:00, 2023-11-29 04:55:00, 2023-11-29 22:00:00","Economy, Economy, Economy","X, X, X",82800,$397.82,"01h 35m, 14h 25m, 14h 50m",2,"01h 55m, 10h 15m","VA882(Virgin Australia), QR905(Qatar), QR705(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-200LR",3,Economy,VA,2023-08-16 23:22:58
SYD,JFK,"SYD-SIN, SIN-JFK","2023-11-28 19:10:00, 2023-11-29 12:35:00","2023-11-29 00:20:00, 2023-11-29 17:25:00","PremiumEconomy, PremiumEconomy","P, P",112500,$385.99,"08h 10m, 17h 50m",1,12h 15m,"SQ242(Singapore Airlines), SQ24(Singapore Airlines)","Airbus A350-900, Airbus A350-900",9,PremiumEconomy,VA,2023-08-16 23:22:58
SYD,JFK,"SYD-MEL, MEL-DOH, DOH-JFK","2023-11-29 12:00:00, 2023-11-29 17:10:00, 2023-11-30 01:25:00","2023-11-29 13:35:00, 2023-11-29 23:35:00, 2023-11-30 08:15:00","Economy, Economy, Economy","X, X, X",82800,$397.82,"01h 35m, 14h 25m, 14h 50m",2,"03h 35m, 01h 50m","VA838(Virgin Australia), QR989(Qatar), QR703(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",2,Economy,VA,2023-08-16 23:22:58
SYD,JFK,"SYD-MEL, MEL-DOH, DOH-JFK","2023-11-29 13:00:00, 2023-11-29 17:10:00, 2023-11-30 01:25:00","2023-11-29 14:35:00, 2023-11-29 23:35:00, 2023-11-30 08:15:00","Economy, Economy, Economy","X, X, X",82800,$397.82,"01h 35m, 14h 25m, 14h 50m",2,"02h 35m, 01h 50m","VA842(Virgin Australia), QR989(Qatar), QR703(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",2,Economy,VA,2023-08-16 23:22:58
SYD,JFK,"SYD-MEL, MEL-DOH, DOH-JFK","2023-11-29 14:00:00, 2023-11-29 17:10:00, 2023-11-30 01:25:00","2023-11-29 15:35:00, 2023-11-29 23:35:00, 2023-11-30 08:15:00","Economy, Economy, Economy","X, X, X",82800,$397.82,"01h 35m, 14h 25m, 14h 50m",2,"01h 35m, 01h 50m","VA846(Virgin Australia), QR989(Qatar), QR703(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",2,Economy,VA,2023-08-16 23:22:58
SYD,JFK,"SYD-AUH, AUH-JFK","2023-11-29 15:55:00, 2023-11-30 03:45:00","2023-11-29 23:25:00, 2023-11-30 09:30:00","Economy, Economy","N, N",75000,$328.69,"14h 30m, 14h 45m",1,04h 20m,"EY451(Etihad Airways), EY103(Etihad Airways)","Boeing 777-300ER, Airbus A350-1000",8,Economy,VA,2023-08-16 23:22:58
SYD,JFK,"SYD-AUH, AUH-JFK","2023-11-29 15:55:00, 2023-11-30 09:55:00","2023-11-29 23:25:00, 2023-11-30 15:40:00","Economy, Economy","N, N",75000,$328.69,"14h 30m, 14h 45m",1,10h 30m,"EY451(Etihad Airways), EY101(Etihad Airways)","Boeing 777-300ER, Boeing 787-9",8,Economy,VA,2023-08-16 23:22:58
SYD,JFK,"SYD-SIN, SIN-JFK","2023-11-29 16:10:00, 2023-11-30 12:35:00","2023-11-29 21:20:00, 2023-11-30 17:25:00","PremiumEconomy, PremiumEconomy","P, P",112500,$385.99,"08h 10m, 17h 50m",1,15h 15m,"SQ222(Singapore Airlines), SQ24(Singapore Airlines)","Airbus A380-800, Airbus A350-900",7,PremiumEconomy,VA,2023-08-16 23:22:58
SYD,JFK,"SYD-SIN, SIN-JFK","2023-11-29 19:10:00, 2023-11-30 12:35:00","2023-11-30 00:20:00, 2023-11-30 17:25:00","PremiumEconomy, PremiumEconomy","P, P",112500,$385.99,"08h 10m, 17h 50m",1,12h 15m,"SQ242(Singapore Airlines), SQ24(Singapore Airlines)","Airbus A350-900, Airbus A350-900",7,PremiumEconomy,VA,2023-08-16 23:22:58
SYD,JFK,"SYD-SIN, SIN-JFK","2023-11-30 16:10:00, 2023-12-01 12:35:00","2023-11-30 21:20:00, 2023-12-01 17:25:00","PremiumEconomy, PremiumEconomy","P, P",112500,$385.99,"08h 10m, 17h 50m",1,15h 15m,"SQ222(Singapore Airlines), SQ24(Singapore Airlines)","Airbus A380-800, Airbus A350-900",7,PremiumEconomy,VA,2023-08-16 23:22:58
SYD,JFK,"SYD-SIN, SIN-JFK","2023-11-30 19:10:00, 2023-12-01 12:35:00","2023-12-01 00:20:00, 2023-12-01 17:25:00","PremiumEconomy, PremiumEconomy","P, P",112500,$385.99,"08h 10m, 17h 50m",1,12h 15m,"SQ242(Singapore Airlines), SQ24(Singapore Airlines)","Airbus A350-900, Airbus A350-900",9,PremiumEconomy,VA,2023-08-16 23:22:58
SYD,JFK,"SYD-MEL, MEL-DOH, DOH-JFK","2023-11-30 19:15:00, 2023-11-30 22:30:00, 2023-12-01 08:15:00","2023-11-30 20:50:00, 2023-12-01 04:55:00, 2023-12-01 15:05:00","Economy, Economy, Economy","X, X, X",82800,$397.82,"01h 35m, 14h 25m, 14h 50m",2,"01h 40m, 03h 20m","VA884(Virgin Australia), QR905(Qatar), QR701(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",2,Economy,VA,2023-08-16 23:22:58
SYD,JFK,"SYD-MEL, MEL-DOH, DOH-JFK","2023-11-30 19:15:00, 2023-11-30 22:30:00, 2023-12-01 15:10:00","2023-11-30 20:50:00, 2023-12-01 04:55:00, 2023-12-01 22:00:00","Economy, Economy, Economy","X, X, X",82800,$397.82,"01h 35m, 14h 25m, 14h 50m",2,"01h 40m, 10h 15m","VA884(Virgin Australia), QR905(Qatar), QR705(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-200LR",2,Economy,VA,2023-08-16 23:22:58
SYD,JFK,"SYD-MEL, MEL-DOH, DOH-JFK","2023-12-05 12:00:00, 2023-12-05 17:10:00, 2023-12-06 01:25:00","2023-12-05 13:35:00, 2023-12-05 23:35:00, 2023-12-06 08:15:00","Economy, Economy, Economy","X, X, X",82800,$397.82,"01h 35m, 14h 25m, 14h 50m",2,"03h 35m, 01h 50m","VA838(Virgin Australia), QR989(Qatar), QR703(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",2,Economy,VA,2023-08-16 23:22:58
