Origin Code,Destination Code,Connection Airport Codes,Departure Date,Arrival Date,Cabin Type,RBD,Points Per Adult,Tax Per Adult,Flight Duration(s),StopOvers,Transition Time,Aircraft Details,Equipment,Remaining Seats,Designated Class,Source,TimeStamp
SYD,FCO,"SYD-MEL, MEL-AUH, AUH-FCO","2024-01-28 18:00:00, 2024-01-28 21:40:00, 2024-01-29 14:40:00","2024-01-28 19:35:00, 2024-01-29 04:40:00, 2024-01-29 18:00:00","Economy, Economy, Economy","X, N, N",82800,$307.1,"01h 35m, 14h 00m, 06h 20m",2,"02h 05m, 10h 00m","VA874(Virgin Australia), EY461(Etihad Airways), EY83(Etihad Airways)","Boeing 737-800, Boeing 777-300ER, Boeing 787-9",8,Economy,VA,2023-08-11 22:46:16
SYD,FCO,"SYD-MEL, MEL-DOH, DOH-FCO","2024-01-28 19:15:00, 2024-01-28 22:30:00, 2024-01-29 15:35:00","2024-01-28 20:50:00, 2024-01-29 04:55:00, 2024-01-29 19:50:00","Economy, Economy, Economy","X, X, X",82800,$345.8,"01h 35m, 14h 25m, 06h 15m",2,"01h 40m, 10h 40m","VA884(Virgin Australia), QR905(Qatar), QR113(Qatar)","Boeing 737-800, Boeing 777-300ER, Airbus A350-900",4,Economy,VA,2023-08-11 22:46:16
SYD,FCO,"SYD-BNE, BNE-DOH, DOH-FCO","2024-01-28 19:30:00, 2024-01-28 22:10:00, 2024-01-29 08:35:00","2024-01-28 20:00:00, 2024-01-29 05:45:00, 2024-01-29 12:50:00","Economy, Economy, Economy","X, X, X",82800,$361.87,"01h 30m, 14h 35m, 06h 15m",2,"02h 10m, 02h 50m","VA985(Virgin Australia), QR899(Qatar), QR131(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 787-9",2,Economy,VA,2023-08-11 22:46:16
SYD,FCO,"SYD-MEL, MEL-LAX, LAX-EWR, EWR-FCO","2024-01-28 20:00:00, 2024-01-29 11:30:00, 2024-01-29 08:15:00, 2024-01-29 17:55:00","2024-01-28 21:35:00, 2024-01-29 06:45:00, 2024-01-29 16:16:00, 2024-01-30 08:05:00","Economy, Economy, Economy, Economy","X, X, X, X",59800,$158.36,"01h 35m, 14h 15m, 05h 01m, 08h 10m",3,"13h 55m, 01h 30m, 01h 39m","VA888(Virgin Australia), UA99(United Airlines), UA2155(United Airlines), UA40(United Airlines)","Boeing 737-800, Boeing 787-9, Boeing 787-10, Boeing 777",9,Economy,VA,2023-08-11 22:46:16
SYD,FCO,"SYD-BNE, BNE-DOH, DOH-FCO","2024-01-28 20:00:00, 2024-01-28 22:10:00, 2024-01-29 08:35:00","2024-01-28 20:30:00, 2024-01-29 05:45:00, 2024-01-29 12:50:00","Economy, Economy, Economy","X, X, X",82800,$361.87,"01h 30m, 14h 35m, 06h 15m",2,"01h 40m, 02h 50m","VA989(Virgin Australia), QR899(Qatar), QR131(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 787-9",2,Economy,VA,2023-08-11 22:46:16
SYD,FCO,"SYD-BNE, BNE-DOH, DOH-FCO","2024-01-28 20:00:00, 2024-01-28 22:10:00, 2024-01-29 15:35:00","2024-01-28 20:30:00, 2024-01-29 05:45:00, 2024-01-29 19:50:00","Economy, Economy, Economy","X, X, X",82800,$361.87,"01h 30m, 14h 35m, 06h 15m",2,"01h 40m, 09h 50m","VA989(Virgin Australia), QR899(Qatar), QR113(Qatar)","Boeing 737-800, Boeing 777-300ER, Airbus A350-900",4,Economy,VA,2023-08-11 22:46:16
SYD,FCO,"SYD-MEL, MEL-LAX, LAX-EWR, EWR-FCO","2024-01-28 20:30:00, 2024-01-29 11:30:00, 2024-01-29 08:15:00, 2024-01-29 17:55:00","2024-01-28 22:05:00, 2024-01-29 06:45:00, 2024-01-29 16:16:00, 2024-01-30 08:05:00","Economy, Economy, Economy, Economy","X, X, X, X",59800,$158.36,"01h 35m, 14h 15m, 05h 01m, 08h 10m",3,"13h 25m, 01h 30m, 01h 39m","VA892(Virgin Australia), UA99(United Airlines), UA2155(United Airlines), UA40(United Airlines)","Boeing 737-800, Boeing 787-9, Boeing 787-10, Boeing 777",9,Economy,VA,2023-08-11 22:46:16
SYD,FCO,"SYD-MEL, MEL-LAX, LAX-EWR, EWR-FCO","2024-01-28 21:30:00, 2024-01-29 11:30:00, 2024-01-29 08:15:00, 2024-01-29 17:55:00","2024-01-28 23:05:00, 2024-01-29 06:45:00, 2024-01-29 16:16:00, 2024-01-30 08:05:00","Economy, Economy, Economy, Economy","X, X, X, X",59800,$158.36,"01h 35m, 14h 15m, 05h 01m, 08h 10m",3,"12h 25m, 01h 30m, 01h 39m","VA898(Virgin Australia), UA99(United Airlines), UA2155(United Airlines), UA40(United Airlines)","Boeing 737-800, Boeing 787-9, Boeing 787-10, Boeing 777",9,Economy,VA,2023-08-11 22:46:16
SYD,FCO,"SYD-MEL, MEL-SIN, SIN-FCO","2024-01-28 21:30:00, 2024-01-29 07:10:00, 2024-01-30 02:05:00","2024-01-28 23:05:00, 2024-01-29 11:50:00, 2024-01-30 08:10:00","Economy, Economy, Economy","X, X, X",82800,$254.8,"01h 35m, 07h 40m, 13h 05m",2,"08h 05m, 14h 15m","VA898(Virgin Australia), SQ248(Singapore Airlines), SQ366(Singapore Airlines)","Boeing 737-800, Airbus A350-900, Airbus A350-900",6,Economy,VA,2023-08-11 22:46:16
SYD,FCO,"SYD-MEL, MEL-SIN, SIN-FCO","2024-01-28 21:30:00, 2024-01-29 10:35:00, 2024-01-30 02:05:00","2024-01-28 23:05:00, 2024-01-29 15:15:00, 2024-01-30 08:10:00","Economy, Economy, Economy","X, X, X",82800,$254.8,"01h 35m, 07h 40m, 13h 05m",2,"11h 30m, 10h 50m","VA898(Virgin Australia), SQ238(Singapore Airlines), SQ366(Singapore Airlines)","Boeing 737-800, Airbus A350-900, Airbus A350-900",2,Economy,VA,2023-08-11 22:46:16
SYD,FCO,"SYD-BNE, BNE-SIN, SIN-FCO","2024-01-28 21:30:00, 2024-01-29 09:10:00, 2024-01-30 02:05:00","2024-01-28 22:00:00, 2024-01-29 15:10:00, 2024-01-30 08:10:00","Economy, Economy, Economy","X, X, X",82800,$271.65,"01h 30m, 08h 00m, 13h 05m",2,"11h 10m, 10h 55m","VA999(Virgin Australia), SQ256(Singapore Airlines), SQ366(Singapore Airlines)","Boeing 737-800, Airbus A350-900, Airbus A350-900",5,Economy,VA,2023-08-11 22:46:16
SYD,FCO,"SYD-DOH, DOH-FCO","2024-01-28 22:00:00, 2024-01-29 15:35:00","2024-01-29 04:50:00, 2024-01-29 19:50:00","Economy, Economy","X, X",75000,$323.59,"14h 50m, 06h 15m",1,10h 45m,"QR909(Qatar), QR113(Qatar)","Airbus A380-800, Airbus A350-900",2,Economy,VA,2023-08-11 22:46:16
SYD,FCO,"SYD-DOH, DOH-FCO","2024-01-28 22:00:00, 2024-01-29 08:35:00","2024-01-29 04:50:00, 2024-01-29 12:50:00","Economy, Economy","X, X",75000,$323.59,"14h 50m, 06h 15m",1,03h 45m,"QR909(Qatar), QR131(Qatar)","Airbus A380-800, Boeing 787-9",2,Economy,VA,2023-08-11 22:46:16
