Origin Code,Destination Code,Connection Airport Codes,Departure Date,Arrival Date,Cabin Type,RBD,Points per Adult,Tax per Adult (AUD),Flight Duration(s),Transition Time,Aircraft Details,TimeStamp
SYD,HND,"SYD-TPE, TPE-KIX, ITM-HND","2024-05-25 22:10:00, 2024-05-26 08:20:00, 2024-05-26 20:15:00","2024-05-26 05:40:00, 2024-05-26 12:00:00, 2024-05-26 21:25:00",ACEECO,"X, X, U",57800,$193,"09h 30m, 02h 39m, 01h 10m","02h 39m, 08h 15m, 00h 00m","CI52(China Airlines Ltd.), CI156(China Airlines Ltd.), JL138(Japan Airlines)",2023-06-07 17:18:18
SYD,HND,"SYD-TPE, TPE-KIX, ITM-HND","2024-05-25 22:10:00, 2024-05-26 09:00:00, 2024-05-26 16:30:00","2024-05-26 05:40:00, 2024-05-26 12:50:00, 2024-05-26 17:50:00",ACEECO,"X, X, U",57800,$193,"09h 30m, 02h 50m, 01h 19m","03h 20m, 03h 39m, 00h 00m","CI52(China Airlines Ltd.), CI152(China Airlines Ltd.), JL126(Japan Airlines)",2023-06-07 17:18:18
SYD,HND,"SYD-TPE, TPE-KIX, ITM-HND","2024-05-25 22:10:00, 2024-05-26 09:00:00, 2024-05-26 20:15:00","2024-05-26 05:40:00, 2024-05-26 12:50:00, 2024-05-26 21:25:00",ACEECO,"X, X, U",57800,$193,"09h 30m, 02h 50m, 01h 10m","03h 20m, 07h 25m, 00h 00m","CI52(China Airlines Ltd.), CI152(China Airlines Ltd.), JL138(Japan Airlines)",2023-06-07 17:18:18
SYD,HND,Direct flight,2024-05-26 08:15:00,2024-05-26 17:05:00,ACEECO,T,37800,$102.75,09h 50m,00h 00m,JL52(Japan Airlines),2023-06-07 17:18:23
SYD,HND,Direct flight,2024-05-26 08:15:00,2024-05-26 17:05:00,ACEPRM,P,70800,$102.75,09h 50m,00h 00m,JL52(Japan Airlines),2023-06-07 17:18:23
SYD,HND,Direct flight,2024-05-27 08:15:00,2024-05-27 17:05:00,ACEECO,T,37800,$102.75,09h 50m,00h 00m,JL52(Japan Airlines),2023-06-07 17:18:28
SYD,HND,Direct flight,2024-05-27 08:15:00,2024-05-27 17:05:00,ACEPRM,P,70800,$102.75,09h 50m,00h 00m,JL52(Japan Airlines),2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, KIX-HND","2024-05-27 22:10:00, 2024-05-28 08:20:00, 2024-05-28 15:00:00","2024-05-28 05:40:00, 2024-05-28 12:00:00, 2024-05-28 16:15:00",ACEPRM,"Z, O, U",109000,$193,"09h 30m, 02h 39m, 01h 15m","02h 39m, 03h 00m, 00h 00m","CI52(China Airlines Ltd.), CI156(China Airlines Ltd.), JL224(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, KIX-HND","2024-05-27 22:10:00, 2024-05-28 08:20:00, 2024-05-28 15:00:00","2024-05-28 05:40:00, 2024-05-28 12:00:00, 2024-05-28 16:15:00",ACEBUS,"O, O, U",110000,$193,"09h 30m, 02h 39m, 01h 15m","02h 39m, 03h 00m, 00h 00m","CI52(China Airlines Ltd.), CI156(China Airlines Ltd.), JL224(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, KIX-HND","2024-05-27 22:10:00, 2024-05-28 08:20:00, 2024-05-28 15:00:00","2024-05-28 05:40:00, 2024-05-28 12:00:00, 2024-05-28 16:15:00",ACEECO,"Z, O, T",99000,$193,"09h 30m, 02h 39m, 01h 15m","02h 39m, 03h 00m, 00h 00m","CI52(China Airlines Ltd.), CI156(China Airlines Ltd.), JL224(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, ITM-HND","2024-05-27 22:10:00, 2024-05-28 08:20:00, 2024-05-28 16:30:00","2024-05-28 05:40:00, 2024-05-28 12:00:00, 2024-05-28 17:50:00",ACEECO,"Z, O, T",99000,$193,"09h 30m, 02h 39m, 01h 19m","02h 39m, 04h 30m, 00h 00m","CI52(China Airlines Ltd.), CI156(China Airlines Ltd.), JL126(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, ITM-HND","2024-05-27 22:10:00, 2024-05-28 08:20:00, 2024-05-28 16:30:00","2024-05-28 05:40:00, 2024-05-28 12:00:00, 2024-05-28 17:50:00",ACEBUS,"O, O, U",110000,$193,"09h 30m, 02h 39m, 01h 19m","02h 39m, 04h 30m, 00h 00m","CI52(China Airlines Ltd.), CI156(China Airlines Ltd.), JL126(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, ITM-HND","2024-05-27 22:10:00, 2024-05-28 08:20:00, 2024-05-28 16:30:00","2024-05-28 05:40:00, 2024-05-28 12:00:00, 2024-05-28 17:50:00",ACEPRM,"Z, O, U",109000,$193,"09h 30m, 02h 39m, 01h 19m","02h 39m, 04h 30m, 00h 00m","CI52(China Airlines Ltd.), CI156(China Airlines Ltd.), JL126(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, ITM-HND","2024-05-27 22:10:00, 2024-05-28 08:20:00, 2024-05-28 17:00:00","2024-05-28 05:40:00, 2024-05-28 12:00:00, 2024-05-28 18:20:00",ACEBUS,"O, O, U",110000,$193,"09h 30m, 02h 39m, 01h 19m","02h 39m, 05h 00m, 00h 00m","CI52(China Airlines Ltd.), CI156(China Airlines Ltd.), JL128(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, ITM-HND","2024-05-27 22:10:00, 2024-05-28 08:20:00, 2024-05-28 17:00:00","2024-05-28 05:40:00, 2024-05-28 12:00:00, 2024-05-28 18:20:00",ACEECO,"Z, O, T",99000,$193,"09h 30m, 02h 39m, 01h 19m","02h 39m, 05h 00m, 00h 00m","CI52(China Airlines Ltd.), CI156(China Airlines Ltd.), JL128(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, ITM-HND","2024-05-27 22:10:00, 2024-05-28 08:20:00, 2024-05-28 17:00:00","2024-05-28 05:40:00, 2024-05-28 12:00:00, 2024-05-28 18:20:00",ACEPRM,"Z, O, U",109000,$193,"09h 30m, 02h 39m, 01h 19m","02h 39m, 05h 00m, 00h 00m","CI52(China Airlines Ltd.), CI156(China Airlines Ltd.), JL128(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, ITM-HND","2024-05-27 22:10:00, 2024-05-28 08:20:00, 2024-05-28 18:30:00","2024-05-28 05:40:00, 2024-05-28 12:00:00, 2024-05-28 19:45:00",ACEECO,"Z, O, T",99000,$193,"09h 30m, 02h 39m, 01h 15m","02h 39m, 06h 30m, 00h 00m","CI52(China Airlines Ltd.), CI156(China Airlines Ltd.), JL130(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, ITM-HND","2024-05-27 22:10:00, 2024-05-28 08:20:00, 2024-05-28 19:30:00","2024-05-28 05:40:00, 2024-05-28 12:00:00, 2024-05-28 20:40:00",ACEECO,"Z, O, T",99000,$193,"09h 30m, 02h 39m, 01h 10m","02h 39m, 07h 30m, 00h 00m","CI52(China Airlines Ltd.), CI156(China Airlines Ltd.), JL134(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, ITM-HND","2024-05-27 22:10:00, 2024-05-28 08:20:00, 2024-05-28 20:15:00","2024-05-28 05:40:00, 2024-05-28 12:00:00, 2024-05-28 21:25:00",ACEPRM,"Z, O, U",109000,$193,"09h 30m, 02h 39m, 01h 10m","02h 39m, 08h 15m, 00h 00m","CI52(China Airlines Ltd.), CI156(China Airlines Ltd.), JL138(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, ITM-HND","2024-05-27 22:10:00, 2024-05-28 08:20:00, 2024-05-28 20:15:00","2024-05-28 05:40:00, 2024-05-28 12:00:00, 2024-05-28 21:25:00",ACEECO,"Z, O, T",99000,$193,"09h 30m, 02h 39m, 01h 10m","02h 39m, 08h 15m, 00h 00m","CI52(China Airlines Ltd.), CI156(China Airlines Ltd.), JL138(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, ITM-HND","2024-05-27 22:10:00, 2024-05-28 08:20:00, 2024-05-28 20:15:00","2024-05-28 05:40:00, 2024-05-28 12:00:00, 2024-05-28 21:25:00",ACEBUS,"O, O, U",110000,$193,"09h 30m, 02h 39m, 01h 10m","02h 39m, 08h 15m, 00h 00m","CI52(China Airlines Ltd.), CI156(China Airlines Ltd.), JL138(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, KIX-HND","2024-05-27 22:10:00, 2024-05-28 08:20:00, 2024-05-28 21:10:00","2024-05-28 05:40:00, 2024-05-28 12:00:00, 2024-05-28 22:25:00",ACEPRM,"Z, O, U",109000,$193,"09h 30m, 02h 39m, 01h 15m","02h 39m, 09h 09m, 00h 00m","CI52(China Airlines Ltd.), CI156(China Airlines Ltd.), JL228(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, KIX-HND","2024-05-27 22:10:00, 2024-05-28 08:20:00, 2024-05-28 21:10:00","2024-05-28 05:40:00, 2024-05-28 12:00:00, 2024-05-28 22:25:00",ACEECO,"Z, O, T",99000,$193,"09h 30m, 02h 39m, 01h 15m","02h 39m, 09h 09m, 00h 00m","CI52(China Airlines Ltd.), CI156(China Airlines Ltd.), JL228(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, KIX-HND","2024-05-27 22:10:00, 2024-05-28 08:20:00, 2024-05-28 21:10:00","2024-05-28 05:40:00, 2024-05-28 12:00:00, 2024-05-28 22:25:00",ACEBUS,"O, O, U",110000,$193,"09h 30m, 02h 39m, 01h 15m","02h 39m, 09h 09m, 00h 00m","CI52(China Airlines Ltd.), CI156(China Airlines Ltd.), JL228(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, KIX-HND","2024-05-27 22:10:00, 2024-05-28 09:00:00, 2024-05-28 15:00:00","2024-05-28 05:40:00, 2024-05-28 12:50:00, 2024-05-28 16:15:00",ACEPRM,"Z, O, U",109000,$193,"09h 30m, 02h 50m, 01h 15m","03h 20m, 02h 09m, 00h 00m","CI52(China Airlines Ltd.), CI152(China Airlines Ltd.), JL224(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, KIX-HND","2024-05-27 22:10:00, 2024-05-28 09:00:00, 2024-05-28 15:00:00","2024-05-28 05:40:00, 2024-05-28 12:50:00, 2024-05-28 16:15:00",ACEECO,"Z, O, T",99000,$193,"09h 30m, 02h 50m, 01h 15m","03h 20m, 02h 09m, 00h 00m","CI52(China Airlines Ltd.), CI152(China Airlines Ltd.), JL224(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, KIX-HND","2024-05-27 22:10:00, 2024-05-28 09:00:00, 2024-05-28 15:00:00","2024-05-28 05:40:00, 2024-05-28 12:50:00, 2024-05-28 16:15:00",ACEBUS,"O, O, U",110000,$193,"09h 30m, 02h 50m, 01h 15m","03h 20m, 02h 09m, 00h 00m","CI52(China Airlines Ltd.), CI152(China Airlines Ltd.), JL224(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, ITM-HND","2024-05-27 22:10:00, 2024-05-28 09:00:00, 2024-05-28 16:30:00","2024-05-28 05:40:00, 2024-05-28 12:50:00, 2024-05-28 17:50:00",ACEPRM,"Z, O, U",109000,$193,"09h 30m, 02h 50m, 01h 19m","03h 20m, 03h 39m, 00h 00m","CI52(China Airlines Ltd.), CI152(China Airlines Ltd.), JL126(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, ITM-HND","2024-05-27 22:10:00, 2024-05-28 09:00:00, 2024-05-28 16:30:00","2024-05-28 05:40:00, 2024-05-28 12:50:00, 2024-05-28 17:50:00",ACEECO,"Z, O, T",99000,$193,"09h 30m, 02h 50m, 01h 19m","03h 20m, 03h 39m, 00h 00m","CI52(China Airlines Ltd.), CI152(China Airlines Ltd.), JL126(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, ITM-HND","2024-05-27 22:10:00, 2024-05-28 09:00:00, 2024-05-28 16:30:00","2024-05-28 05:40:00, 2024-05-28 12:50:00, 2024-05-28 17:50:00",ACEBUS,"O, O, U",110000,$193,"09h 30m, 02h 50m, 01h 19m","03h 20m, 03h 39m, 00h 00m","CI52(China Airlines Ltd.), CI152(China Airlines Ltd.), JL126(Japan Airlines)",2023-06-07 17:18:28
