Origin Code,Destination Code,Connection Airport Codes,Departure Date,Arrival Date,Cabin Type,RBD,Points Per Adult,Tax Per Adult,Flight Duration(s),StopOvers,Transition Time,Aircraft Details,Equipment,Remaining Seats,Designated Class,Source,TimeStamp
SYD,SIN,"SYD-TPE, TPE-SIN","2024-09-29 22:10:00, 2024-09-30 07:50:00","2024-09-30 05:40:00, 2024-09-30 12:25:00","PremiumEconomy, PremiumEconomy","Z, Z",93500,$197.36,"09h 30m, 04h 34m",1,"02h 09m, 00h 00m","CI52(China Airlines Ltd.), CI753(China Airlines Ltd.)",-,-,PremiumEconomy,QF,2023-11-19 00:57:40
SYD,SIN,"SYD-HKG, HKG-SIN","2024-09-30 21:55:00, 2024-10-01 08:00:00","2024-10-01 05:10:00, 2024-10-01 11:55:00","Economy, Economy","X, X",45000,$389.18,"09h 15m, 03h 54m",1,"02h 50m, 00h 00m","CX138(Cathay Pacific), CX691(Cathay Pacific)",-,-,Economy,QF,2023-11-19 00:57:44
SYD,SIN,"SYD-TPE, TPE-SIN","2024-09-30 22:10:00, 2024-10-01 07:50:00","2024-10-01 05:40:00, 2024-10-01 12:25:00","Economy, Economy","X, X",50200,$197.36,"09h 30m, 04h 34m",1,"02h 09m, 00h 00m","CI52(China Airlines Ltd.), CI753(China Airlines Ltd.)",-,-,Economy,QF,2023-11-19 00:57:44
SYD,SIN,"SYD-TPE, TPE-SIN","2024-09-30 22:10:00, 2024-10-01 07:50:00","2024-10-01 05:40:00, 2024-10-01 12:25:00","PremiumEconomy, PremiumEconomy","Z, Z",93500,$197.36,"09h 30m, 04h 34m",1,"02h 09m, 00h 00m","CI52(China Airlines Ltd.), CI753(China Airlines Ltd.)",-,-,PremiumEconomy,QF,2023-11-19 00:57:44
SYD,SIN,"SYD-HKG, HKG-SIN","2024-10-01 07:35:00, 2024-10-01 16:40:00","2024-10-01 15:00:00, 2024-10-01 20:35:00","Economy, Economy","X, X",45000,$389.18,"09h 24m, 03h 54m",1,"01h 40m, 00h 00m","CX110(Cathay Pacific), CX711(Cathay Pacific)",-,-,Economy,QF,2023-11-19 00:57:49
SYD,SIN,"SYD-HKG, HKG-SIN","2024-10-01 21:55:00, 2024-10-02 08:00:00","2024-10-02 05:10:00, 2024-10-02 11:55:00","Economy, Economy","X, X",45000,$389.18,"09h 15m, 03h 54m",1,"02h 50m, 00h 00m","CX138(Cathay Pacific), CX691(Cathay Pacific)",-,-,Economy,QF,2023-11-19 00:57:49
SYD,SIN,"SYD-TPE, TPE-SIN","2024-10-01 22:10:00, 2024-10-02 07:50:00","2024-10-02 05:40:00, 2024-10-02 12:25:00","PremiumEconomy, PremiumEconomy","Z, Z",93500,$197.36,"09h 30m, 04h 34m",1,"02h 09m, 00h 00m","CI52(China Airlines Ltd.), CI753(China Airlines Ltd.)",-,-,PremiumEconomy,QF,2023-11-19 00:57:49
SYD,SIN,"SYD-TPE, TPE-SIN","2024-10-01 22:10:00, 2024-10-02 07:50:00","2024-10-02 05:40:00, 2024-10-02 12:25:00","Economy, Economy","X, X",50200,$197.36,"09h 30m, 04h 34m",1,"02h 09m, 00h 00m","CI52(China Airlines Ltd.), CI753(China Airlines Ltd.)",-,-,Economy,QF,2023-11-19 00:57:49
SYD,SIN,"SYD-HKG, HKG-SIN","2024-10-02 07:35:00, 2024-10-02 16:40:00","2024-10-02 15:00:00, 2024-10-02 20:35:00","Economy, Economy","X, X",45000,$389.18,"09h 24m, 03h 54m",1,"01h 40m, 00h 00m","CX110(Cathay Pacific), CX711(Cathay Pacific)",-,-,Economy,QF,2023-11-19 00:57:53
SYD,SIN,Direct flight,2024-10-02 15:10:00,2024-10-02 21:30:00,Economy,X,25200,$137.16,08h 20m,0,00h 00m,QF1(Qantas Airways),-,-,Economy,QF,2023-11-19 00:57:53
SYD,SIN,"SYD-HKG, HKG-SIN","2024-10-02 21:55:00, 2024-10-03 08:00:00","2024-10-03 05:10:00, 2024-10-03 11:55:00","Economy, Economy","X, X",45000,$389.18,"09h 15m, 03h 54m",1,"02h 50m, 00h 00m","CX138(Cathay Pacific), CX691(Cathay Pacific)",-,-,Economy,QF,2023-11-19 00:57:53
SYD,SIN,"SYD-TPE, TPE-SIN","2024-10-02 22:10:00, 2024-10-03 07:50:00","2024-10-03 05:40:00, 2024-10-03 12:25:00","PremiumEconomy, PremiumEconomy","Z, Z",93500,$197.36,"09h 30m, 04h 34m",1,"02h 09m, 00h 00m","CI52(China Airlines Ltd.), CI753(China Airlines Ltd.)",-,-,PremiumEconomy,QF,2023-11-19 00:57:53
SYD,SIN,"SYD-TPE, TPE-SIN","2024-10-02 22:10:00, 2024-10-03 07:50:00","2024-10-03 05:40:00, 2024-10-03 12:25:00","Economy, Economy","X, X",50200,$197.36,"09h 30m, 04h 34m",1,"02h 09m, 00h 00m","CI52(China Airlines Ltd.), CI753(China Airlines Ltd.)",-,-,Economy,QF,2023-11-19 00:57:53
SYD,SIN,"SYD-HKG, HKG-SIN","2024-10-03 07:35:00, 2024-10-03 16:40:00","2024-10-03 15:00:00, 2024-10-03 20:35:00","Economy, Economy","X, X",45000,$389.18,"09h 24m, 03h 54m",1,"01h 40m, 00h 00m","CX110(Cathay Pacific), CX711(Cathay Pacific)",-,-,Economy,QF,2023-11-19 00:57:58
SYD,SIN,Direct flight,2024-10-03 14:50:00,2024-10-03 21:05:00,PremiumEconomy,P,59000,$292.35,08h 15m,0,00h 00m,BA16(British Airways),-,-,PremiumEconomy,QF,2023-11-19 00:57:58
SYD,SIN,Direct flight,2024-10-03 15:10:00,2024-10-03 21:30:00,Economy,X,25200,$137.16,08h 20m,0,00h 00m,QF1(Qantas Airways),-,-,Economy,QF,2023-11-19 00:57:58
SYD,SIN,"SYD-HKG, HKG-SIN","2024-10-03 21:55:00, 2024-10-04 08:00:00","2024-10-04 05:10:00, 2024-10-04 11:55:00","Economy, Economy","X, X",45000,$389.18,"09h 15m, 03h 54m",1,"02h 50m, 00h 00m","CX138(Cathay Pacific), CX691(Cathay Pacific)",-,-,Economy,QF,2023-11-19 00:57:58
SYD,SIN,"SYD-TPE, TPE-SIN","2024-10-03 22:10:00, 2024-10-04 07:50:00","2024-10-04 05:40:00, 2024-10-04 12:25:00","Economy, Economy","X, X",50200,$197.36,"09h 30m, 04h 34m",1,"02h 09m, 00h 00m","CI52(China Airlines Ltd.), CI753(China Airlines Ltd.)",-,-,Economy,QF,2023-11-19 00:57:58
SYD,SIN,"SYD-HKG, HKG-SIN","2024-10-04 07:35:00, 2024-10-04 16:40:00","2024-10-04 15:00:00, 2024-10-04 20:35:00","Economy, Economy","X, X",45000,$389.18,"09h 24m, 03h 54m",1,"01h 40m, 00h 00m","CX110(Cathay Pacific), CX711(Cathay Pacific)",-,-,Economy,QF,2023-11-19 00:58:02
SYD,SIN,Direct flight,2024-10-04 15:10:00,2024-10-04 21:30:00,Economy,X,25200,$137.16,08h 20m,0,00h 00m,QF1(Qantas Airways),-,-,Economy,QF,2023-11-19 00:58:02
SYD,SIN,"SYD-HKG, HKG-SIN","2024-10-04 21:55:00, 2024-10-05 08:00:00","2024-10-05 05:10:00, 2024-10-05 11:55:00","Economy, Economy","X, X",45000,$389.18,"09h 15m, 03h 54m",1,"02h 50m, 00h 00m","CX138(Cathay Pacific), CX691(Cathay Pacific)",-,-,Economy,QF,2023-11-19 00:58:02
SYD,SIN,"SYD-TPE, TPE-SIN","2024-10-04 22:10:00, 2024-10-05 07:50:00","2024-10-05 05:40:00, 2024-10-05 12:25:00","Economy, Economy","X, X",50200,$197.36,"09h 30m, 04h 34m",1,"02h 09m, 00h 00m","CI52(China Airlines Ltd.), CI753(China Airlines Ltd.)",-,-,Economy,QF,2023-11-19 00:58:02
SYD,SIN,"SYD-HKG, HKG-SIN","2024-10-05 21:55:00, 2024-10-06 08:00:00","2024-10-06 05:10:00, 2024-10-06 11:55:00","Economy, Economy","X, X",45000,$389.18,"09h 15m, 03h 54m",1,"02h 50m, 00h 00m","CX138(Cathay Pacific), CX691(Cathay Pacific)",-,-,Economy,QF,2023-11-19 00:58:06
SYD,SIN,"SYD-TPE, TPE-SIN","2024-10-05 22:10:00, 2024-10-06 07:50:00","2024-10-06 05:40:00, 2024-10-06 12:25:00","Economy, Economy","X, X",50200,$197.36,"09h 30m, 04h 34m",1,"02h 09m, 00h 00m","CI52(China Airlines Ltd.), CI753(China Airlines Ltd.)",-,-,Economy,QF,2023-11-19 00:58:06
SYD,SIN,"SYD-TPE, TPE-SIN","2024-10-05 22:10:00, 2024-10-06 07:50:00","2024-10-06 05:40:00, 2024-10-06 12:25:00","PremiumEconomy, PremiumEconomy","Z, Z",93500,$197.36,"09h 30m, 04h 34m",1,"02h 09m, 00h 00m","CI52(China Airlines Ltd.), CI753(China Airlines Ltd.)",-,-,PremiumEconomy,QF,2023-11-19 00:58:06
SYD,SIN,"SYD-TPE, TPE-SIN","2024-10-06 22:10:00, 2024-10-07 07:50:00","2024-10-07 04:40:00, 2024-10-07 12:25:00","Economy, Economy","X, X",50200,$197.36,"09h 30m, 04h 34m",1,"03h 09m, 00h 00m","CI52(China Airlines Ltd.), CI753(China Airlines Ltd.)",-,-,Economy,QF,2023-11-19 00:58:10
SYD,SIN,"SYD-TPE, TPE-SIN","2024-10-06 22:10:00, 2024-10-07 07:50:00","2024-10-07 04:40:00, 2024-10-07 12:25:00","PremiumEconomy, PremiumEconomy","Z, Z",93500,$197.36,"09h 30m, 04h 34m",1,"03h 09m, 00h 00m","CI52(China Airlines Ltd.), CI753(China Airlines Ltd.)",-,-,PremiumEconomy,QF,2023-11-19 00:58:10
SYD,SIN,"SYD-PER, PER-SIN","2024-10-07 08:20:00, 2024-10-07 11:50:00","2024-10-07 10:20:00, 2024-10-07 17:20:00","Economy, Economy","X, X",25200,$166.05,"05h 00m, 05h 30m",1,"01h 30m, 00h 00m","QF643(Qantas Airways), QF71(Qantas Airways)",-,-,Economy,QF,2023-11-19 00:58:15
SYD,SIN,Direct flight,2024-10-07 11:25:00,2024-10-07 16:50:00,Economy,X,25200,$137.16,08h 24m,0,00h 00m,QF291(Qantas Airways),-,-,Economy,QF,2023-11-19 00:58:15
SYD,SIN,Direct flight,2024-10-07 16:10:00,2024-10-07 21:30:00,Economy,X,25200,$137.16,08h 20m,0,00h 00m,QF1(Qantas Airways),-,-,Economy,QF,2023-11-19 00:58:15
SYD,SIN,"SYD-PER, PER-SIN","2024-10-08 08:20:00, 2024-10-08 11:50:00","2024-10-08 10:20:00, 2024-10-08 17:20:00","Economy, Economy","X, X",25200,$166.05,"05h 00m, 05h 30m",1,"01h 30m, 00h 00m","QF643(Qantas Airways), QF71(Qantas Airways)",-,-,Economy,QF,2023-11-19 00:58:19
SYD,SIN,Direct flight,2024-10-08 11:25:00,2024-10-08 16:50:00,Economy,X,25200,$137.16,08h 24m,0,00h 00m,QF291(Qantas Airways),-,-,Economy,QF,2023-11-19 00:58:19
SYD,SIN,"SYD-KUL, KUL-SIN","2024-10-08 14:25:00, 2024-10-08 23:05:00","2024-10-08 20:15:00, 2024-10-09 00:10:00","Economy, Economy","X, X",30200,$130.45,"08h 50m, 01h 04m",1,"02h 50m, 00h 00m","MH122(Malaysia Airlines), MH609(Malaysia Airlines)",-,-,Economy,QF,2023-11-19 00:58:19
SYD,SIN,Direct flight,2024-10-08 16:10:00,2024-10-08 21:30:00,Economy,X,25200,$137.16,08h 20m,0,00h 00m,QF1(Qantas Airways),-,-,Economy,QF,2023-11-19 00:58:19
SYD,SIN,"SYD-PER, PER-SIN","2024-10-09 08:20:00, 2024-10-09 11:50:00","2024-10-09 10:20:00, 2024-10-09 17:20:00","Economy, Economy","X, X",25200,$166.05,"05h 00m, 05h 30m",1,"01h 30m, 00h 00m","QF643(Qantas Airways), QF71(Qantas Airways)",-,-,Economy,QF,2023-11-19 00:58:23
SYD,SIN,Direct flight,2024-10-09 11:25:00,2024-10-09 16:50:00,Economy,X,25200,$137.16,08h 24m,0,00h 00m,QF291(Qantas Airways),-,-,Economy,QF,2023-11-19 00:58:23
SYD,SIN,"SYD-KUL, KUL-SIN","2024-10-09 14:25:00, 2024-10-09 23:05:00","2024-10-09 20:15:00, 2024-10-10 00:10:00","Economy, Economy","X, X",30200,$130.45,"08h 50m, 01h 04m",1,"02h 50m, 00h 00m","MH122(Malaysia Airlines), MH609(Malaysia Airlines)",-,-,Economy,QF,2023-11-19 00:58:23
SYD,SIN,Direct flight,2024-10-09 15:50:00,2024-10-09 21:05:00,First,Z,107700,$292.35,08h 15m,0,00h 00m,BA16(British Airways),-,-,First,QF,2023-11-19 00:58:23
SYD,SIN,Direct flight,2024-10-09 16:10:00,2024-10-09 21:30:00,Economy,X,25200,$137.16,08h 20m,0,00h 00m,QF1(Qantas Airways),-,-,Economy,QF,2023-11-19 00:58:23
SYD,SIN,"SYD-PER, PER-SIN","2024-10-10 08:20:00, 2024-10-10 11:50:00","2024-10-10 10:20:00, 2024-10-10 17:20:00","Economy, Economy","X, X",25200,$166.05,"05h 00m, 05h 30m",1,"01h 30m, 00h 00m","QF643(Qantas Airways), QF71(Qantas Airways)",-,-,Economy,QF,2023-11-19 00:58:28
SYD,SIN,Direct flight,2024-10-10 11:25:00,2024-10-10 16:50:00,Economy,X,25200,$137.16,08h 24m,0,00h 00m,QF291(Qantas Airways),-,-,Economy,QF,2023-11-19 00:58:28
SYD,SIN,"SYD-KUL, KUL-SIN","2024-10-10 14:25:00, 2024-10-10 23:05:00","2024-10-10 20:15:00, 2024-10-11 00:10:00","Economy, Economy","X, X",30200,$130.45,"08h 50m, 01h 04m",1,"02h 50m, 00h 00m","MH122(Malaysia Airlines), MH609(Malaysia Airlines)",-,-,Economy,QF,2023-11-19 00:58:28
SYD,SIN,Direct flight,2024-10-10 15:50:00,2024-10-10 21:05:00,PremiumEconomy,P,59000,$292.35,08h 15m,0,00h 00m,BA16(British Airways),-,-,PremiumEconomy,QF,2023-11-19 00:58:28
SYD,SIN,Direct flight,2024-10-10 16:10:00,2024-10-10 21:30:00,Economy,X,25200,$137.16,08h 20m,0,00h 00m,QF1(Qantas Airways),-,-,Economy,QF,2023-11-19 00:58:28
SYD,SIN,"SYD-PER, PER-SIN","2024-10-11 08:20:00, 2024-10-11 11:50:00","2024-10-11 10:20:00, 2024-10-11 17:20:00","Economy, Economy","X, X",25200,$166.05,"05h 00m, 05h 30m",1,"01h 30m, 00h 00m","QF643(Qantas Airways), QF71(Qantas Airways)",-,-,Economy,QF,2023-11-19 00:58:32
SYD,SIN,Direct flight,2024-10-11 11:25:00,2024-10-11 16:50:00,Economy,X,25200,$137.16,08h 24m,0,00h 00m,QF81(Qantas Airways),-,-,Economy,QF,2023-11-19 00:58:32
SYD,SIN,"SYD-KUL, KUL-SIN","2024-10-11 14:25:00, 2024-10-11 23:05:00","2024-10-11 20:15:00, 2024-10-12 00:10:00","Economy, Economy","X, X",30200,$130.45,"08h 50m, 01h 04m",1,"02h 50m, 00h 00m","MH122(Malaysia Airlines), MH609(Malaysia Airlines)",-,-,Economy,QF,2023-11-19 00:58:32
SYD,SIN,Direct flight,2024-10-11 16:10:00,2024-10-11 21:30:00,Economy,X,25200,$137.16,08h 20m,0,00h 00m,QF1(Qantas Airways),-,-,Economy,QF,2023-11-19 00:58:32
SYD,SIN,"SYD-PER, PER-SIN","2024-10-12 08:20:00, 2024-10-12 11:50:00","2024-10-12 10:20:00, 2024-10-12 17:20:00","Economy, Economy","X, X",25200,$166.05,"05h 00m, 05h 30m",1,"01h 30m, 00h 00m","QF643(Qantas Airways), QF71(Qantas Airways)",-,-,Economy,QF,2023-11-19 00:58:37
SYD,SIN,Direct flight,2024-10-12 11:25:00,2024-10-12 16:50:00,Economy,X,25200,$137.16,08h 24m,0,00h 00m,QF291(Qantas Airways),-,-,Economy,QF,2023-11-19 00:58:37
