Origin Code,Destination Code,Connection Airport Codes,Departure Date,Arrival Date,Cabin Type,RBD,Points Per Adult,Tax Per Adult,Flight Duration(s),StopOvers,Transition Time,Aircraft Details,Equipment,Remaining Seats,Designated Class,Source,TimeStamp
SYD,AMS,"SYD-MEL, MEL-DOH, DOH-AMS","2023-11-27 19:00:00, 2023-11-27 22:10:00, 2023-11-28 08:15:00","2023-11-27 20:35:00, 2023-11-28 04:35:00, 2023-11-28 13:15:00","Economy, Economy, Economy","Q, Q, Q",209200,$449.5,"01h 35m, 14h 25m, 07h 00m",2,"01h 35m, 03h 40m","VA882(Virgin Australia), QR905(Qatar), QR273(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",7,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-BNE, BNE-DOH, DOH-AMS","2023-11-27 19:00:00, 2023-11-27 22:10:00, 2023-11-28 08:15:00","2023-11-27 19:30:00, 2023-11-28 05:45:00, 2023-11-28 13:15:00","Business, Business, Business","J, J, J",1668700,$629.57,"01h 30m, 14h 35m, 07h 00m",2,"02h 40m, 02h 30m","VA981(Virgin Australia), QR899(Qatar), QR273(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",7,Business,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-BNE, BNE-DOH, DOH-AMS","2023-11-27 19:00:00, 2023-11-27 22:10:00, 2023-11-28 08:15:00","2023-11-27 19:30:00, 2023-11-28 05:45:00, 2023-11-28 13:15:00","Economy, Economy, Economy","H, H, H",411200,$465.57,"01h 30m, 14h 35m, 07h 00m",2,"02h 40m, 02h 30m","VA981(Virgin Australia), QR899(Qatar), QR273(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",7,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-MEL, MEL-DOH, DOH-AMS","2023-11-27 19:00:00, 2023-11-27 22:10:00, 2023-11-28 08:15:00","2023-11-27 20:35:00, 2023-11-28 04:35:00, 2023-11-28 13:15:00","Economy, Economy, Economy","H, H, H",412400,$449.5,"01h 35m, 14h 25m, 07h 00m",2,"01h 35m, 03h 40m","VA882(Virgin Australia), QR905(Qatar), QR273(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",7,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-MEL, MEL-DOH, DOH-AMS","2023-11-27 19:00:00, 2023-11-27 22:10:00, 2023-11-28 08:15:00","2023-11-27 20:35:00, 2023-11-28 04:35:00, 2023-11-28 13:15:00","Business, Business, Business","D, D, D",867900,$613.5,"01h 35m, 14h 25m, 07h 00m",2,"01h 35m, 03h 40m","VA882(Virgin Australia), QR905(Qatar), QR273(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",2,Business,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-BNE, BNE-DOH, DOH-AMS","2023-11-27 19:00:00, 2023-11-27 22:10:00, 2023-11-28 08:15:00","2023-11-27 19:30:00, 2023-11-28 05:45:00, 2023-11-28 13:15:00","Economy, Economy, Economy","R, R, R",303400,$465.57,"01h 30m, 14h 35m, 07h 00m",2,"02h 40m, 02h 30m","VA981(Virgin Australia), QR899(Qatar), QR273(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",7,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-MEL, MEL-LAX, LAX-IAD, IAD-AMS","2023-11-27 19:30:00, 2023-11-28 11:30:00, 2023-11-28 08:40:00, 2023-11-28 18:25:00","2023-11-27 21:05:00, 2023-11-28 06:45:00, 2023-11-28 16:21:00, 2023-11-29 08:05:00","Economy, Economy, Economy, Economy","X, X, X, X",59800,$158.36,"01h 35m, 14h 15m, 04h 41m, 07h 40m",3,"14h 25m, 01h 55m, 02h 04m","VA886(Virgin Australia), UA99(United Airlines), UA1603(United Airlines), UA946(United Airlines)","Boeing 737-800, Boeing 787-9, Boeing 787-9, Boeing 767-400",9,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-MEL, MEL-LAX, LAX-IAD, IAD-AMS","2023-11-27 20:00:00, 2023-11-28 11:30:00, 2023-11-28 08:40:00, 2023-11-28 18:25:00","2023-11-27 21:35:00, 2023-11-28 06:45:00, 2023-11-28 16:21:00, 2023-11-29 08:05:00","Economy, Economy, Economy, Economy","X, X, X, X",59800,$158.36,"01h 35m, 14h 15m, 04h 41m, 07h 40m",3,"13h 55m, 01h 55m, 02h 04m","VA888(Virgin Australia), UA99(United Airlines), UA1603(United Airlines), UA946(United Airlines)","Boeing 737-800, Boeing 787-9, Boeing 787-9, Boeing 767-400",9,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-AUH, AUH-AMS","2023-11-27 21:25:00, 2023-11-28 14:05:00","2023-11-28 04:55:00, 2023-11-28 18:25:00","Economy, Economy","N, N",75000,$292.49,"14h 30m, 07h 20m",1,09h 10m,"EY455(Etihad Airways), EY77(Etihad Airways)","Boeing 777-300ER, Boeing 787-10",8,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-MEL, MEL-LAX, LAX-IAD, IAD-AMS","2023-11-27 21:30:00, 2023-11-28 11:30:00, 2023-11-28 08:40:00, 2023-11-28 18:25:00","2023-11-27 23:05:00, 2023-11-28 06:45:00, 2023-11-28 16:21:00, 2023-11-29 08:05:00","Economy, Economy, Economy, Economy","X, X, X, X",59800,$158.36,"01h 35m, 14h 15m, 04h 41m, 07h 40m",3,"12h 25m, 01h 55m, 02h 04m","VA898(Virgin Australia), UA99(United Airlines), UA1603(United Airlines), UA946(United Airlines)","Boeing 737-800, Boeing 787-9, Boeing 787-9, Boeing 767-400",9,Economy,VA,2023-08-06 17:18:32
